scenarioIndex,timeIndex,shortRate,discountFactor
0,0,0.03000000,1.00000000
0,1,0.01568774,0.99869354
0,2,0.01042205,0.99782655
0,3,0.01053398,0.99695101
0,4,0.00303501,0.99669890
0,5,0.00005090,0.99669467
0,6,0.00000000,0.99669467
0,7,0.00000000,0.99669467
0,8,0.00515141,0.99626689
0,9,0.00153245,0.99613968
0,10,0.00000000,0.99613968
0,11,0.00433031,0.99578027
0,12,0.00447966,0.99540861
0,13,0.00809171,0.99473763
0,14,0.00257203,0.99452444
0,15,0.00832867,0.99383443
0,16,0.01275701,0.99277846
0,17,0.01214118,0.99177451
0,18,0.01205142,0.99077898
0,19,0.01554355,0.98949646
0,20,0.01019711,0.98865598
0,21,0.00292973,0.98841464
0,22,0.00673904,0.98785971
0,23,0.00485746,0.98745992
1,0,0.03000000,1.00000000
1,1,0.02650505,0.99779368
1,2,0.02732449,0.99552425
1,3,0.02350134,0.99357648
1,4,0.02874520,0.99119928
1,5,0.02760995,0.98892132
1,6,0.02233692,0.98708225
1,7,0.02590030,0.98495407
1,8,0.02002978,0.98331140
1,9,0.02534819,0.98123650
1,10,0.02510293,0.97918599
1,11,0.01881315,0.97765206
1,12,0.02267154,0.97580673
1,13,0.01386012,0.97468031
1,14,0.01237411,0.97367576
1,15,0.01514334,0.97244781
1,16,0.01865153,0.97093752
1,17,0.02095578,0.96924343
1,18,0.01758318,0.96782428
1,19,0.02911192,0.96547919
1,20,0.03582719,0.96260095
1,21,0.03368013,0.95990303
1,22,0.03703913,0.95694477
1,23,0.04793906,0.95312947
2,0,0.03000000,1.00000000
2,1,0.04035829,0.99664246
2,2,0.05306290,0.99224513
2,3,0.05155008,0.98799174
2,4,0.04888157,0.98397538
2,5,0.04802344,0.98004543
2,6,0.05202550,0.97580568
2,7,0.05479490,0.97136007
2,8,0.05300507,0.96707895
2,9,0.05796806,0.96241857
2,10,0.05658941,0.95789070
2,11,0.05843666,0.95323738
2,12,0.06195718,0.94832840
2,13,0.05251018,0.94418773
2,14,0.04306842,0.94080508
2,15,0.04077794,0.93761350
2,16,0.03840510,0.93461753
2,17,0.04375411,0.93121596
2,18,0.03833941,0.92824552
2,19,0.04852642,0.92449939
2,20,0.04990480,0.92066263
2,21,0.05825383,0.91620412
2,22,0.05069397,0.91234178
2,23,0.04845364,0.90866535
